Unnamed: 0,file,id,label,label_number,type
350001,151048,NZ_CP011513.1,Firmicutes,1,Train
350002,39268,NZ_CP014652.1,Proteobacteria,0,Test
350003,42467,NZ_CP040041.1,Proteobacteria,0,Train
350004,341846,NZ_CP023408.1,Actinobacteria,2,Train
350005,25174,NZ_CP035221.1,Firmicutes,1,Train
350006,133425,NZ_CP045722.1,Proteobacteria,0,Train
350007,261455,NZ_CP007798.1,Proteobacteria,0,Train
350008,61638,NZ_CP021372.1,Proteobacteria,0,Train
350009,109604,NZ_CP013526.1,Proteobacteria,0,Train
350010,269305,NZ_LR745047.1,Proteobacteria,0,Train
350011,336262,NZ_CP031947.1,Proteobacteria,0,Train
350012,198317,NZ_CP023064.1,Proteobacteria,0,Train
350013,200237,NZ_CP022346.1,Firmicutes,1,Train
350014,120737,NZ_AP020328.1,Actinobacteria,2,Test
350015,151498,NZ_CP041957.1,Proteobacteria,0,Train
350016,193733,NZ_CP021794.1,Proteobacteria,0,Train
350017,155337,NZ_CP040452.1,Proteobacteria,0,Test
350018,198128,NZ_CP023065.1,Proteobacteria,0,Train
350019,36940,NZ_CP023015.1,Proteobacteria,0,Train
350020,157172,NZ_CP018729.1,Proteobacteria,0,Train
350021,55880,NZ_CP041205.1,Proteobacteria,0,Train
350022,170207,NZ_CP013052.1,Proteobacteria,0,Train
350023,148844,NZ_CP011357.1,Firmicutes,1,Test
350024,227263,NZ_CP025986.1,Proteobacteria,0,Test
350025,214848,NZ_CP020098.1,Firmicutes,1,Test
350026,73560,NC_009475.1,Proteobacteria,0,Train
350027,170185,NZ_CP013052.1,Proteobacteria,0,Train
350028,199411,NZ_CP022826.1,Proteobacteria,0,Train
350029,6148,NC_009621.1,Proteobacteria,0,Train
350030,140490,NZ_CP017563.1,Proteobacteria,0,Train
350031,94484,NZ_CP035710.1,Proteobacteria,0,Train
350032,281017,NC_003296.1,Proteobacteria,0,Train
350033,117471,NZ_CP031601.1,Proteobacteria,0,Train
350034,115065,NZ_CP042965.1,Proteobacteria,0,Train
350035,357150,CP030655.1,Firmicutes,1,Train
350036,216348,NZ_CP026806.1,Proteobacteria,0,Train
350037,176920,NZ_CP039644.1,Proteobacteria,0,Train
350038,266730,NZ_CP009167.1,Proteobacteria,0,Train
350039,5707,NC_000914.2,Proteobacteria,0,Train
350040,230029,NZ_CP024313.1,Proteobacteria,0,Train
350041,128493,NZ_CP045331.1,Proteobacteria,0,Train
350042,151366,NZ_CP039989.1,Proteobacteria,0,Train
350043,345055,AP014579.1,Proteobacteria,0,Train
350044,246115,NZ_CP030263.1,Proteobacteria,0,Train
350045,193852,NZ_CP021841.1,Proteobacteria,0,Train
350046,320131,NZ_CP014310.1,Proteobacteria,0,Train
350047,184091,NZ_CP021502.1,Firmicutes,1,Test
350048,2389,NC_007103.1,Firmicutes,1,Train
350049,86301,NZ_LR134457.1,Actinobacteria,2,Test
350050,150807,NZ_CP014208.1,Proteobacteria,0,Train
350051,356846,CP028804.2,Proteobacteria,0,Train
350052,273003,NZ_CP014320.1,Proteobacteria,0,Train
350053,199315,NZ_CP022991.1,Proteobacteria,0,Train
350054,101452,NZ_CP013543.1,Proteobacteria,0,Train
350055,173425,NC_007974.2,Proteobacteria,0,Train
350056,244706,NZ_CP044976.1,Proteobacteria,0,Train
350057,139967,NZ_CP012141.1,Proteobacteria,0,Train
350058,58031,NZ_CP030003.1,Proteobacteria,0,Train
350059,261107,NC_020560.1,Proteobacteria,0,Train
350060,234404,NZ_CP027350.1,Proteobacteria,0,Test
350061,147286,NZ_CP038915.1,Proteobacteria,0,Train
350062,127898,NZ_CP023451.1,Proteobacteria,0,Train
350063,166499,NC_008757.1,Proteobacteria,0,Train
350064,142318,NZ_CP018068.1,Firmicutes,1,Train
350065,348710,CP003090.1,Proteobacteria,0,Test
350066,295868,NC_018583.1,Actinobacteria,2,Train
350067,170533,NZ_CP017782.1,Proteobacteria,0,Train
350068,315886,NZ_CP020069.1,Proteobacteria,0,Train
350069,75006,NC_018654.1,Proteobacteria,0,Train
350070,147571,NZ_LT795115.1,Proteobacteria,0,Train
