Unnamed: 0,file,id,label,label_number,type
150001,267429,NZ_CP011045.1,Actinobacteria,2,Train
150002,320415,NZ_CP014308.1,Proteobacteria,0,Train
150003,226786,NZ_CP026181.1,Proteobacteria,0,Train
150004,95229,NC_009036.1,Proteobacteria,0,Train
150005,16211,NZ_CP020952.1,Proteobacteria,0,Train
150006,229504,NZ_CP024308.1,Proteobacteria,0,Train
150007,166631,NC_008538.1,Actinobacteria,2,Test
150008,293553,NC_016750.1,Firmicutes,1,Train
150009,285537,NC_014718.1,Proteobacteria,0,Train
150010,238573,NZ_CP034168.1,Firmicutes,1,Train
150011,26111,NZ_CP022518.1,Proteobacteria,0,Train
150012,212045,NZ_CP018001.1,Proteobacteria,0,Train
150013,120728,NZ_CP044987.1,Deinococcus-Thermus,5,Train
150014,33620,NZ_CP037942.1,Proteobacteria,0,Test
150015,352591,CP024685.1,Firmicutes,1,Train
150016,41507,NZ_CP039703.1,Firmicutes,1,Test
150017,304238,NZ_CP018222.1,Proteobacteria,0,Train
150018,71738,NC_011143.1,Proteobacteria,0,Train
150019,340881,NZ_CP032993.1,Proteobacteria,0,Train
150020,298290,NZ_CP029452.1,Proteobacteria,0,Train
150021,77638,NC_014331.1,Firmicutes,1,Test
150022,240068,NZ_CP024896.1,Actinobacteria,2,Train
150023,41295,NZ_CP039706.1,Firmicutes,1,Train
150024,68823,NZ_AP019395.1,Firmicutes,1,Train
150025,296653,NZ_CP007130.1,other,9,Train
150026,137307,NZ_CP011963.1,Proteobacteria,0,Train
150027,362865,AP022593.1,Actinobacteria,2,Train
150028,339077,NZ_CP016850.1,Proteobacteria,0,Train
150029,358965,CP047137.1,Proteobacteria,0,Train
150030,19679,NZ_CP034786.1,Proteobacteria,0,Train
150031,35390,NZ_CP035906.1,Proteobacteria,0,Train
150032,63745,NZ_LR135192.1,Firmicutes,1,Train
150033,199609,NZ_LT904895.1,Proteobacteria,0,Train
150034,207790,NZ_CP024508.1,Proteobacteria,0,Train
150035,89463,NZ_CP018251.1,Proteobacteria,0,Train
150036,238637,NZ_CP026778.1,Proteobacteria,0,Train
150037,342850,NZ_CP022492.1,Proteobacteria,0,Train
150038,299773,NZ_CP029440.1,Proteobacteria,0,Train
150039,328070,NZ_CP022764.1,Proteobacteria,0,Train
150040,280090,NC_008378.1,Proteobacteria,0,Train
